EXPECTED OUTPUT, OUTPUT, TEST RESULT
296,296,OK
137,137,OK
208,208,OK
565,565,OK
296,296,OK
137,137,OK
208,208,OK
565,565,OK
360,360,OK
505,505,OK
544,544,OK
1205,1205,OK
37,37,OK
-6,-6,OK
23,23,OK
12,12,OK
15,15,OK
-9,-9,OK
1308,1308,OK
847,847,OK
37,37,OK
-6,-6,OK
23,23,OK
12,12,OK
SIMULATION ENDED SUCCESSFULLY
