EXPECTED OUTPUT, OUTPUT, TEST RESULT
2600,2600,OK
4157,4157,OK
3757,3757,OK
2770,2770,OK
4546,4546,OK
6473,6473,OK
4141,4141,OK
3524,3524,OK
1018,1018,OK
2041,2041,OK
5905,5905,OK
4384,4384,OK
32,32,OK
80,80,OK
32,32,OK
80,80,OK
59,59,OK
63,63,OK
766,766,OK
1359,1359,OK
12,12,OK
60,60,OK
12,12,OK
-52,-52,OK
64,12,OK
48,-52,OK
SIMULATION ENDED SUCCESSFULLY
