EXPECTED OUTPUT, OUTPUT, TEST RESULT
2041,2041,OK
1553,1553,OK
1913,1913,OK
1681,1681,OK
33514,33514,OK
30610,30610,OK
37546,37546,OK
34898,34898,OK
33514,33514,OK
30610,30610,OK
37546,37546,OK
34898,34898,OK
127,127,OK
-63,-63,OK
64,64,OK
-128,-128,OK
137,137,OK
-127,-127,OK
1097,1097,OK
1051,1051,OK
127,127,OK
-63,-63,OK
64,64,OK
-128,-128,OK
137,64,OK
-127,-128,OK
SIMULATION ENDED SUCCESSFULLY
