EXPECTED OUTPUT, OUTPUT, TEST RESULT
45328,45328,OK
32825,32825,OK
34073,34073,OK
27010,27010,OK
45328,45328,OK
32825,32825,OK
34073,34073,OK
27010,27010,OK
47056,47056,OK
35977,35977,OK
35881,35881,OK
30242,30242,OK
208,208,OK
-192,-192,OK
-28,-28,OK
-125,-125,OK
108,108,OK
-267,-267,OK
3354,3354,OK
3684,3684,OK
176,176,OK
-80,-80,OK
-16,-16,OK
-128,-128,OK
SIMULATION ENDED SUCCESSFULLY
