EXPECTED OUTPUT, OUTPUT, TEST RESULT
4810,4810,OK
5626,5626,OK
4744,4744,OK
5288,5288,OK
586,586,OK
890,890,OK
904,904,OK
936,936,OK
1130,1130,OK
1402,1402,OK
1780,1780,OK
1780,1780,OK
68,68,OK
6,6,OK
75,75,OK
1,1,OK
88,88,OK
32,32,OK
1845,1845,OK
1718,1718,OK
68,68,OK
6,6,OK
75,75,OK
1,1,OK
88,75,OK
32,1,OK
SIMULATION ENDED SUCCESSFULLY
