EXPECTED OUTPUT, OUTPUT, TEST RESULT
128,128,OK
640,640,OK
2176,2176,OK
3712,3712,OK
15680,15680,OK
17728,17728,OK
14144,14144,OK
17216,17216,OK
3328,3328,OK
2560,2560,OK
256,256,OK
512,512,OK
-56,-56,OK
88,88,OK
-96,-96,OK
48,48,OK
16,16,OK
0,0,OK
1143,1143,OK
845,845,OK
-56,-56,OK
88,88,OK
-96,-96,OK
48,48,OK
SIMULATION ENDED SUCCESSFULLY
